"","total","shortstack","mirdeep2","shortstack_pct","mirdeep2_pct"
"Daudi_Ago1KD_S2",37690751,30835,2220,0.000818105216316862,5.89003917698536e-05
"Daudi_Ago2KD_S8",37838612,9691,359,0.000256114045620912,9.48766302527165e-06
"Daudi_Ago3KD_S1",35847271,20565,1572,0.000573683837745975,4.38527105731424e-05
"Daudi_Ago4KD_S7",38849754,27455,2843,0.000706696881529803,7.31793565539694e-05
"Daudi_CONTROL_S3",35911357,22619,4017,0.000629856454602927,0.000111858763788848
"Daudi_DicerKD_S4",31137968,53111,6483,0.00170566685661698,0.000208202410638999
"Daudi_DroshaKD_S5",42491783,29287,1592,0.000689239140659266,3.74660672629341e-05
"Daudi_LaKD_S6",38041319,37182,4027,0.000977410904180268,0.000105858579719594
"Hsa_Ago1KD_S6",45904528,92429,1012,0.00201350507296361,2.20457554862562e-05
"Hsa_Ago2KD_S8",34400525,132276,1628,0.00384517387452662,4.73248591409579e-05
"Hsa_Ago3KD_S5",43919512,114078,2764,0.00259743323195394,6.29333039948167e-05
"Hsa_Ago4KD_S3",32877686,96807,1360,0.0029444590473916,4.13654415946426e-05
"Hsa_CONTROL_S1",34269714,86390,7931,0.00252088476723208,0.000231428835385087
"Hsa_DicerKD_S10",31011440,16162,595,0.000521162512930712,1.91864679615007e-05
"Hsa_DroshaKD_S9",43649632,94038,1884,0.00215438242411757,4.31618759122643e-05
"Hsa_LaKD_S7",38900536,101071,350,0.00259819042082094,8.99730533275943e-06
"RE_Ago1KD_S4",12024805,29,1,2.41168151999138e-06,8.31614317238408e-08
"RE_Ago2KD_S5",21599261,0,0,0,0
"RE_Ago3KD_S8",20532202,1,0,4.87039821642121e-08,0
"RE_Ago4KD_S7",19044265,0,0,0,0
"RE_CONTROL_S7",24530322,3,0,1.22297620063854e-07,0
"RE_DicerKD_S6",19794234,0,0,0,0
"RE_DroshaKD_S1",20013765,446,22,2.22846625809786e-05,1.0992434456985e-06
"RE_LaKD_S3",16808760,4,0,2.37971153136817e-07,0
"SNU_ago1KD_S5",57290875,1518108,505480,0.0264982512485627,0.0088230455548113
"SNU_ago2KD_S6",55376358,432637,129816,0.00781266619231261,0.00234424950806624
"SNU_ago3KD_S7",39212773,551122,155093,0.0140546550992453,0.00395516532329912
"SNU_ago4KD_S4",38611338,733124,244157,0.0189872725985305,0.00632345348923158
"SNU_CONTROL_X",23358020,108273,30195,0.00463536721006318,0.00129270374800604
"SNU_dicerKD_S8",55815305,861734,275588,0.0154390269837279,0.00493749877385782
"SNU_droshaKD_S3",63704620,228712,46797,0.00359019487126679,0.000734593503579489
"SNU_laKD_S1",40057104,402880,121341,0.0100576417106938,0.00302920051334715
