"","total","shortstack","mirdeep2","shortstack_pct","mirdeep2_pct"
"Daudi_Ago1KD_S2",37690751,36684233,86272,0.973295358322789,0.00228894351295892
"Daudi_Ago2KD_S8",37838612,37139800,12498,0.981531775002741,0.000330297527826866
"Daudi_Ago3KD_S1",35847271,35061107,52443,0.978069069748713,0.00146295655253645
"Daudi_Ago4KD_S7",38849754,38064144,93806,0.979778250333323,0.00241458414382753
"Daudi_CONTROL_S3",35911357,35296735,81018,0.982885024367083,0.00225605509699898
"Daudi_DicerKD_S4",31137968,30190821,216044,0.969582247627719,0.00693828190715592
"Daudi_DroshaKD_S5",42491783,41406032,65306,0.974447977388946,0.00153690891248315
"Daudi_LaKD_S6",38041319,37249392,139916,0.979182451586392,0.00367800075491599
"Hsa_Ago1KD_S6",45904528,44096436,33107,0.960611903034925,0.000721214255813718
"Hsa_Ago2KD_S8",34400525,33543241,40541,0.975079333818307,0.00117849945604028
"Hsa_Ago3KD_S5",43919512,42003603,138173,0.956376814933645,0.0031460504388118
"Hsa_Ago4KD_S3",32877686,32036686,32369,0.974420340896254,0.000984527925718373
"Hsa_CONTROL_S1",34269714,33214043,290339,0.969195220012633,0.00847217458540798
"Hsa_DicerKD_S10",31011440,30164662,22851,0.972694657197473,0.000736857108215549
"Hsa_DroshaKD_S9",43649632,41153508,58077,0.942814546523554,0.00133052668118714
"Hsa_LaKD_S7",38900536,37884251,12791,0.973874781571133,0.000328812950032359
"RE_Ago1KD_S4",12024805,11788186,204583,0.980322425186936,0.0170134151863585
"RE_Ago2KD_S5",21599261,21287827,102015,0.985581265951645,0.00472307825716815
"RE_Ago3KD_S8",20532202,20121683,35757,0.98000608994593,0.00174150829024573
"RE_Ago4KD_S7",19044265,18704282,44222,0.982147748941742,0.0023220638864246
"RE_CONTROL_S7",24530322,23386737,102144,0.953380758719759,0.0041639893679341
"RE_DicerKD_S6",19794234,19223768,92230,0.971180193181509,0.00465943769281499
"RE_DroshaKD_S1",20013765,19420564,116512,0.970360349489464,0.00582159328841925
"RE_LaKD_S3",16808760,16308042,150788,0.97021089003591,0.00897079855979858
"SNU_ago1KD_S5",57290875,54765836,4303371,0.955925982977219,0.0751144226720224
"SNU_ago2KD_S6",55376358,53042587,1008138,0.957856184763902,0.018205205911158
"SNU_ago3KD_S7",39212773,37398250,1261676,0.953726225890732,0.0321751282420144
"SNU_ago4KD_S4",38611338,36904035,2216997,0.955782340409959,0.0574182899333869
"SNU_CONTROL_X",23358020,22907909,342292,0.980729916319962,0.0146541530489314
"SNU_dicerKD_S8",55815305,53622247,2535480,0.960708662256705,0.0454262500222833
"SNU_droshaKD_S3",63704620,61334249,410972,0.962791222991362,0.00645121185873175
"SNU_laKD_S1",40057104,38326299,1367237,0.956791559369844,0.0341321978743146
